DIETS,transient_killers,toothed_whales,gray_whales,baleen_whales,pinnipeds,walrus_bd_seals,nf_seal_juv,nf_seal_adu,ice_seals,oth_birds,murres_puffins,kittiwakes,auklets,fulmars,albatross,sharks,pollock_juv,pollock_adu,pcod_juv,pcod_adu,herring,arrowtooth_juv,arrowtooth_adu,kamchatka,gr_turbot_juv,gr_turbot_adu,halibut_juv,halibut_adu,yf_sole,fh_sole,nr_sole,ak_plaice,oth_flatfish,skates,sablefish,eelpouts,deep_demersals,pac_ocean_perch,oth_rockfish,north_rockfish,shortraker_rock,rougheye_rock,atka,shallow_demersals,lg_sculpins,octopus,squids,salmon_returning,salmon_smolts,mycto_bathy,capelin,sandlance,oth_forage,bairdi,king_crabs,opilio,pandalid,ben_zooplankton,motile_epifauna,structural_epifauna,infauna,jellyfish,pel_zooplankton,euphausiids,copepods,pelagic_microbes,benthic_microbes,lg_phytoplankton,sm_phytoplankton
transient_killers,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toothed_whales,0.02615505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gray_whales,0.05383285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baleen_whales,0.8370397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinnipeds,0.02606792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
walrus_bd_seals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nf_seal_juv,0.003140365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nf_seal_adu,0.05376409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motile_epifauna,,,0.007412022,6.22E-05,0.1305779,0.06599396,,,0.009866799,7.58E-05,,,,,,0.005,0.000410327,0.001631969,0.007586157,0.09095914,,0.005747671,0.000310286,8.75E-05,1.08E-06,0.00223311,0.000443331,0.05660416,1.06E-01,0.2556449,3.87E-02,0.02072395,5.21E-02,0.04681082,0.00059404,0.1896674,,,0.003292201,0.01103183,,,,0.009813486,0.04018751,0.5,,,,,,,,0.1623877,0.4303031,0.1880722,,,0.01110627,,,,,,,,,,
structural_epifauna,,,0.000602945,5.06E-06,,,,,,,,,,,,,,0.000117678,,0.00076636,,,1.55E-06,,,,,2.07E-05,0.005563074,0.001050145,7.42E-04,0.000501245,8.06E-07,9.64E-06,0.03904234,0.00171725,,,,,,,,0.01825321,6.78E-06,,,,,,,,,0.01339114,0.05512733,0.01074562,,,,,,,,,,,,,
infauna,,,0.0687875,0.000576874,0.000113283,0.897201,,,0.02614701,0.002112951,,0.03746707,0.007091192,0.000804864,,,0.006664411,0.004769366,0.04314973,0.07242916,0.000255691,0.000213602,0.001065823,0.004413724,,1.00E-10,8.51E-05,0.005678927,0.4836148,0.05919384,0.6487467,0.8622693,3.19E-01,0.002867612,2.44E-05,0.3149072,,0.000279276,0.01822568,,,,,0.0126217,0.12942,0.4,,,,,,,,0.6911657,0.3986758,0.5611314,0.1,0.003574119,0.4842338,,,,,,,,,,
jellyfish,,,,,,,,,,,,,,,,,0.005773969,0.01454546,,4.97E-06,,,1.33E-04,,7.30E-07,,,,0.006096228,4.85E-06,0.00049744,4.49E-05,,1.47E-05,0.01153454,,,0.000123797,,,,,0.002122683,0.3111263,0.02480613,,0.04,,,,,,,,,,,,,,,0.003863703,0.02046365,,,,,,
pel_zooplankton,,,,0.06685448,,,,,,0.000112161,0.003993608,0.002950005,0.03360485,0.001241179,,,0.05367106,2.63E-02,2.13E-04,1.37E-04,0.000260247,1.07E-06,0.000180739,,0.007590367,0.000179651,,6.17E-05,4.16E-03,0.002632968,0.000489247,1.54E-05,0.004282171,,0.02607394,0.001079521,,0.001668536,0.01516856,0.06227879,,,,0.01117746,0.04571457,,0.165,0.4,0.25,,,,,,,,,,,,,0.003863703,0.04092731,,,,,,
euphausiids,,,,0.4783395,,,,,,0.007216268,0.04221491,0.03118338,0.3552243,0.01312004,,,0.3289865,0.34964,0.03307759,0.02189747,0.9267635,0.2458857,0.09169547,0.03206752,0.9743532,0.01924843,,0.003377985,0.1240987,0.1239671,0.01152024,0.001129958,0.01630509,4.34E-05,0.130396,0.00018246,,0.2125694,0.1934572,0.04048762,0.01999422,0.1938486,0.9480986,0.005878703,0.009595369,,0.42,0.2,0.25,0.9,0.9,0.9,0.9,,,0.000603733,0.2,0.007148239,,,,0.04945539,0.02046365,,,,,,
copepods,,,,0.2046125,,,,,,0.01061027,0.06206967,0.04584974,0.5222954,0.01929073,,,0.4192171,0.3642263,0.006113008,5.52E-05,0.0726963,0.000313507,9.09E-06,,,,,,0.000696009,9.04E-04,9.19E-05,0.000007807,0.002943916,,0.03904234,,,0.0510379,0.1806319,0.8094074,,0.003899726,0.0461397,0.009360371,2.77E-05,,0.2,0.2,0.5,0.1,0.1,0.1,0.1,,,,,0.006851794,,,,0.2422726,0.25,0.25,,,,,
pelagic_microbes,,,,,,,,,,,,,,,,,,3.17E-06,3.52E-05,8.05E-07,,,,,,,,,0.000356545,1.87E-05,0.000275836,0.000142786,,,,0.00065419,,,,,,,,0.000179288,,,,,,,,,,,,,,0.004111076,,,,0.1422726,0.15,0.15,0.5,,,,
benthic_microbes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4684258,,0.15,0.3160338,,,,,,,,
lg_phytoplankton,,,,,,,,,,,,,,,,,,,,0.000023955,,,,,,,,1.39E-06,,,1.98E-08,,,,,,,,,,,,,,,,,,,,,,,,0.02492626,0.004452738,,0.01370359,0.04366103,,,0.4652267,0.3976817,0.5,0.25,,,,
sm_phytoplankton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002740717,,,,0.09227259,0.1,0.1,0.25,0.7,,,
discards_offal,,,,,,,,,,0.001751614,,,,,,0.1,,0.01128911,6.41E-06,0.07252564,,,0.04751004,0.002912948,,0.000272089,,0.0174298,0.009574907,0.03158548,4.54E-06,8.56E-06,,0.1360623,0.02899228,0.00062444,,,,,,,,,0.008015924,,,,,,,,,0.01250524,0.006281157,0.01180703,,,,,,,,,,,,,
pelagic_detritus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,
benthic_detritus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07767446,0.06017417,0.1540276,0.4,0.4827223,0.4223015,0.6,0.5525618,,,,,,1,,
import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
